2020-08-28_12-19-12: DF Exception: Sub: R1313J, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1313J_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1325C, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1325C_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1325C, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1325C_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1338T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1338T_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1338T, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1338T_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1338T, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1338T_2_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1342M, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1342M_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-22-08: DF Exception: Sub: R1034D, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1034D_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-3.p', file: <ipython-input-21-668a3ed7f91b>, line no: 71
2020-08-28_12-22-08: DF Exception: Sub: R1034D, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1034D_2_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-3.p', file: <ipython-input-21-668a3ed7f91b>, line no: 71
2020-08-28_12-22-08: DF Exception: Sub: R1044J, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1044J_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-3.p', file: <ipython-input-21-668a3ed7f91b>, line no: 71
2020-08-28_12-22-08: DF Exception: Sub: R1094T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1094T_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-3.p', file: <ipython-input-21-668a3ed7f91b>, line no: 71
2020-08-28_12-22-08: DF Exception: Sub: R1094T, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1094T_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-3.p', file: <ipython-input-21-668a3ed7f91b>, line no: 71
